season,episode_num,imdb_rating,title
17,8,5.5,Con Heiress
17,9,6.6,Pawtucket Pete
17,10,6.4,Hefty Shades of Gray
17,11,5.4,Trump Guy
17,12,6.6,"Bri, Robot"
17,13,6.0,Trans-Fat
17,14,6.7,Family Guy Lite
17,15,6.5,"No Giggity, No Doubt"
17,16,3.8,You Can't Handle the Booth
17,17,6.9,Island Adventure
17,18,6.6,Throw It Away
17,19,6.8,"Girl, Internetted"
17,20,6.9,Adam West High
18,1,5.8,Yacht Rocky
18,2,5.8,Bri-Da
18,3,6.5,Absolutely Babulous
18,4,7.2,Disney's The Reboot
18,5,6.8,Cat Fight
18,6,7.0,Peter & Lois' Wedding
18,7,6.7,Heart Burn
18,8,6.6,Shanksgiving
18,9,6.8,Christmas Is Coming
18,10,6.5,Connie's Celica
18,11,6.7,Short Cuts
18,12,6.7,Undergrounded
18,13,7.2,Rich Old Stewie
18,14,6.6,The Movement
18,15,7.2,Baby Stewie
18,16,6.3,Start Me Up
18,17,7.0,Coma Guy
18,18,6.5,Better Off Meg
18,19,6.3,Holly Bibble
18,20,6.6,Movin' In (Principal Shepherd's Song)
19,1,6.7,Stewie's First Word
19,2,6.2,The Talented Mr. Stewie
19,3,5.7,Boys & Squirrels
19,4,6.0,CutawayLand
19,5,6.7,La Famiglia Guy
19,6,6.5,Meg's Wedding
19,7,7.2,Wild Wild West
19,8,5.7,Pawtucket Pat
19,9,7.2,The First No L
19,10,7.4,Fecal Matters
19,11,7.1,Boy's Best Friend
19,12,6.0,And Then There's Fraud
19,13,8.2,PeTerminator
